datetime,charge_MW
7/23/2018 0:00,0.0
7/23/2018 0:30,0.0
7/23/2018 1:00,0.0
7/23/2018 1:30,0.0
7/23/2018 2:00,0.0
7/23/2018 2:30,0.0
7/23/2018 3:00,0.0
7/23/2018 3:30,0.0
7/23/2018 4:00,0.0
7/23/2018 4:30,0.0
7/23/2018 5:00,0.0
7/23/2018 5:30,0.0
7/23/2018 6:00,0.0
7/23/2018 6:30,0.0
7/23/2018 7:00,0.0
7/23/2018 7:30,0.0
7/23/2018 8:00,0.92
7/23/2018 8:30,0.0
7/23/2018 9:00,0.92
7/23/2018 9:30,0.92
7/23/2018 10:00,0.92
7/23/2018 10:30,0.92
7/23/2018 11:00,0.92
7/23/2018 11:30,0.92
7/23/2018 12:00,0.92
7/23/2018 12:30,0.92
7/23/2018 13:00,0.92
7/23/2018 13:30,0.92
7/23/2018 14:00,0.92
7/23/2018 14:30,0.92
7/23/2018 15:00,0.0
7/23/2018 15:30,-0.92
7/23/2018 16:00,-1.17
7/23/2018 16:30,-1.2
7/23/2018 17:00,-1.25
7/23/2018 17:30,-1.29
7/23/2018 18:00,-1.14
7/23/2018 18:30,-1.14
7/23/2018 19:00,-0.98
7/23/2018 19:30,-0.99
7/23/2018 20:00,-0.95
7/23/2018 20:30,-0.96
7/23/2018 21:00,0.0
7/23/2018 21:30,0.0
7/23/2018 22:00,0.0
7/23/2018 22:30,0.0
7/23/2018 23:00,0.0
7/23/2018 23:30,0.0
7/24/2018 0:00,0.0
7/24/2018 0:30,0.0
7/24/2018 1:00,0.0
7/24/2018 1:30,0.0
7/24/2018 2:00,0.0
7/24/2018 2:30,0.0
7/24/2018 3:00,0.0
7/24/2018 3:30,0.0
7/24/2018 4:00,0.0
7/24/2018 4:30,0.0
7/24/2018 5:00,0.0
7/24/2018 5:30,0.0
7/24/2018 6:00,0.0
7/24/2018 6:30,0.0
7/24/2018 7:00,0.0
7/24/2018 7:30,0.0
7/24/2018 8:00,0.92
7/24/2018 8:30,0.0
7/24/2018 9:00,0.92
7/24/2018 9:30,0.92
7/24/2018 10:00,0.92
7/24/2018 10:30,0.92
7/24/2018 11:00,0.92
7/24/2018 11:30,0.92
7/24/2018 12:00,0.92
7/24/2018 12:30,0.92
7/24/2018 13:00,0.92
7/24/2018 13:30,0.92
7/24/2018 14:00,0.92
7/24/2018 14:30,0.92
7/24/2018 15:00,0.0
7/24/2018 15:30,-0.89
7/24/2018 16:00,-1.2
7/24/2018 16:30,-1.22
7/24/2018 17:00,-1.31
7/24/2018 17:30,-1.3
7/24/2018 18:00,-1.15
7/24/2018 18:30,-1.15
7/24/2018 19:00,-0.96
7/24/2018 19:30,-0.97
7/24/2018 20:00,-0.92
7/24/2018 20:30,-0.93
7/24/2018 21:00,0.0
7/24/2018 21:30,0.0
7/24/2018 22:00,0.0
7/24/2018 22:30,0.0
7/24/2018 23:00,0.0
7/24/2018 23:30,0.0
7/25/2018 0:00,0.0
7/25/2018 0:30,0.0
7/25/2018 1:00,0.0
7/25/2018 1:30,0.0
7/25/2018 2:00,0.0
7/25/2018 2:30,0.0
7/25/2018 3:00,0.0
7/25/2018 3:30,0.0
7/25/2018 4:00,0.0
7/25/2018 4:30,0.0
7/25/2018 5:00,0.0
7/25/2018 5:30,0.0
7/25/2018 6:00,0.0
7/25/2018 6:30,0.0
7/25/2018 7:00,0.0
7/25/2018 7:30,0.0
7/25/2018 8:00,0.86
7/25/2018 8:30,0.86
7/25/2018 9:00,0.86
7/25/2018 9:30,0.86
7/25/2018 10:00,0.86
7/25/2018 10:30,0.86
7/25/2018 11:00,0.86
7/25/2018 11:30,0.86
7/25/2018 12:00,0.86
7/25/2018 12:30,0.86
7/25/2018 13:00,0.86
7/25/2018 13:30,0.86
7/25/2018 14:00,0.86
7/25/2018 14:30,0.86
7/25/2018 15:00,0.0
7/25/2018 15:30,-0.66
7/25/2018 16:00,-1.19
7/25/2018 16:30,-1.14
7/25/2018 17:00,-1.36
7/25/2018 17:30,-1.25
7/25/2018 18:00,-1.2
7/25/2018 18:30,-1.17
7/25/2018 19:00,-1.0
7/25/2018 19:30,-1.02
7/25/2018 20:00,-1.0
7/25/2018 20:30,-1.02
7/25/2018 21:00,0.0
7/25/2018 21:30,0.0
7/25/2018 22:00,0.0
7/25/2018 22:30,0.0
7/25/2018 23:00,0.0
7/25/2018 23:30,0.0
7/26/2018 0:00,0.0
7/26/2018 0:30,0.0
7/26/2018 1:00,0.0
7/26/2018 1:30,0.0
7/26/2018 2:00,0.0
7/26/2018 2:30,0.0
7/26/2018 3:00,0.0
7/26/2018 3:30,0.0
7/26/2018 4:00,0.0
7/26/2018 4:30,0.0
7/26/2018 5:00,0.0
7/26/2018 5:30,0.0
7/26/2018 6:00,0.0
7/26/2018 6:30,0.0
7/26/2018 7:00,0.0
7/26/2018 7:30,0.0
7/26/2018 8:00,0.86
7/26/2018 8:30,0.86
7/26/2018 9:00,0.86
7/26/2018 9:30,0.86
7/26/2018 10:00,0.86
7/26/2018 10:30,0.86
7/26/2018 11:00,0.86
7/26/2018 11:30,0.86
7/26/2018 12:00,0.86
7/26/2018 12:30,0.86
7/26/2018 13:00,0.86
7/26/2018 13:30,0.86
7/26/2018 14:00,0.86
7/26/2018 14:30,0.86
7/26/2018 15:00,0.0
7/26/2018 15:30,-0.86
7/26/2018 16:00,-1.19
7/26/2018 16:30,-1.17
7/26/2018 17:00,-1.33
7/26/2018 17:30,-1.2
7/26/2018 18:00,-1.17
7/26/2018 18:30,-1.1
7/26/2018 19:00,-0.98
7/26/2018 19:30,-0.98
7/26/2018 20:00,-1.0
7/26/2018 20:30,-1.01
7/26/2018 21:00,0.0
7/26/2018 21:30,0.0
7/26/2018 22:00,0.0
7/26/2018 22:30,0.0
7/26/2018 23:00,0.0
7/26/2018 23:30,0.0
7/27/2018 0:00,0.0
7/27/2018 0:30,0.0
7/27/2018 1:00,0.0
7/27/2018 1:30,0.0
7/27/2018 2:00,0.5
7/27/2018 2:30,0.5
7/27/2018 3:00,0.5
7/27/2018 3:30,0.5
7/27/2018 4:00,0.5
7/27/2018 4:30,0.5
7/27/2018 5:00,0.0
7/27/2018 5:30,0.0
7/27/2018 6:00,0.0
7/27/2018 6:30,0.0
7/27/2018 7:00,1.75
7/27/2018 7:30,1.75
7/27/2018 8:00,0.0
7/27/2018 8:30,0.0
7/27/2018 9:00,0.0
7/27/2018 9:30,0.0
7/27/2018 10:00,0.0
7/27/2018 10:30,0.0
7/27/2018 11:00,0.0
7/27/2018 11:30,0.0
7/27/2018 12:00,0.0
7/27/2018 12:30,0.0
7/27/2018 13:00,2.19
7/27/2018 13:30,2.19
7/27/2018 14:00,0.56
7/27/2018 14:30,0.56
7/27/2018 15:00,0.0
7/27/2018 15:30,-1.1
7/27/2018 16:00,-1.16
7/27/2018 16:30,-1.17
7/27/2018 17:00,-1.17
7/27/2018 17:30,-1.21
7/27/2018 18:00,-1.13
7/27/2018 18:30,-1.14
7/27/2018 19:00,-0.99
7/27/2018 19:30,-0.99
7/27/2018 20:00,-0.97
7/27/2018 20:30,-0.97
7/27/2018 21:00,0.0
7/27/2018 21:30,0.0
7/27/2018 22:00,0.0
7/27/2018 22:30,0.0
7/27/2018 23:00,0.0
7/27/2018 23:30,0.0
7/28/2018 0:00,0.0
7/28/2018 0:30,0.08
7/28/2018 1:00,0.08
7/28/2018 1:30,0.48
7/28/2018 2:00,0.48
7/28/2018 2:30,0.0
7/28/2018 3:00,0.44
7/28/2018 3:30,0.44
7/28/2018 4:00,0.0
7/28/2018 4:30,0.0
7/28/2018 5:00,0.0
7/28/2018 5:30,0.0
7/28/2018 6:00,0.0
7/28/2018 6:30,0.0
7/28/2018 7:00,0.0
7/28/2018 7:30,0.0
7/28/2018 8:00,0.0
7/28/2018 8:30,0.0
7/28/2018 9:00,0.0
7/28/2018 9:30,0.0
7/28/2018 10:00,0.0
7/28/2018 10:30,0.0
7/28/2018 11:00,2.5
7/28/2018 11:30,2.5
7/28/2018 12:00,2.5
7/28/2018 12:30,2.5
7/28/2018 13:00,0.0
7/28/2018 13:30,0.0
7/28/2018 14:00,0.0
7/28/2018 14:30,0.0
7/28/2018 15:00,0.0
7/28/2018 15:30,-1.09
7/28/2018 16:00,-1.24
7/28/2018 16:30,-1.23
7/28/2018 17:00,-1.23
7/28/2018 17:30,-1.22
7/28/2018 18:00,-1.12
7/28/2018 18:30,-1.11
7/28/2018 19:00,-0.99
7/28/2018 19:30,-0.99
7/28/2018 20:00,-0.9
7/28/2018 20:30,-0.88
7/28/2018 21:00,0.0
7/28/2018 21:30,0.0
7/28/2018 22:00,0.0
7/28/2018 22:30,0.0
7/28/2018 23:00,0.0
7/28/2018 23:30,0.0
7/29/2018 0:00,0.0
7/29/2018 0:30,0.0
7/29/2018 1:00,0.0
7/29/2018 1:30,0.0
7/29/2018 2:00,0.0
7/29/2018 2:30,0.0
7/29/2018 3:00,0.0
7/29/2018 3:30,0.0
7/29/2018 4:00,0.0
7/29/2018 4:30,0.0
7/29/2018 5:00,0.0
7/29/2018 5:30,0.0
7/29/2018 6:00,0.0
7/29/2018 6:30,0.0
7/29/2018 7:00,0.0
7/29/2018 7:30,0.0
7/29/2018 8:00,0.0
7/29/2018 8:30,0.0
7/29/2018 9:00,0.0
7/29/2018 9:30,0.0
7/29/2018 10:00,1.5
7/29/2018 10:30,1.5
7/29/2018 11:00,1.5
7/29/2018 11:30,1.5
7/29/2018 12:00,1.5
7/29/2018 12:30,1.5
7/29/2018 13:00,1.5
7/29/2018 13:30,1.5
7/29/2018 14:00,0.0
7/29/2018 14:30,0.0
7/29/2018 15:00,0.0
7/29/2018 15:30,-1.12
7/29/2018 16:00,-1.18
7/29/2018 16:30,-1.21
7/29/2018 17:00,-1.2
7/29/2018 17:30,-1.28
7/29/2018 18:00,-1.12
7/29/2018 18:30,-1.17
7/29/2018 19:00,-0.98
7/29/2018 19:30,-1.0
7/29/2018 20:00,-0.84
7/29/2018 20:30,-0.88
7/29/2018 21:00,0.0
7/29/2018 21:30,0.0
7/29/2018 22:00,0.0
7/29/2018 22:30,0.0
7/29/2018 23:00,0.0
7/29/2018 23:30,0.0
